comment,sentiment_score
明天轮到谁道歉呢？投资人？,0.476442055
你好，现在与电影无关尽量不带堡垒话题哦,0.46132041
我又来了,0.526232782
鹿大妈在，谁会去看呢,0.132766927
回评来了加油,0.827578629
加油回评,0.703759125
dd，多捞捞自己,0.928411033
投票就好，不要和他们缠绵对比了,0.945605234
哦豁我也在第一排,0.326604025
还有电影周边礼品,0.805705458
帽子戴成这样，在我们老家就是个二流子嘛,0.991081905
我给你顶！,0.549019608
投票可以，但不要提其他团哦,0.388579908
你有大合照吗,0.505746217
我的祝福语压根没给我写,0.622041028
这个电影有点想看,0.848601497
欢迎互评,0.18220574
积分互评呀,0.067348366
我来了,0.526232782
投票必须得，但下次不要提及其他团啦,0.490658388
离得这么近,0.589285714
宝贝你的也是写的祝福吗我的压根什么都没有,0.942407728
上海堡垒约起来,0.369744654
助攻,0.818231343
上去,0.526232782
上海堡垒集体蹲江洋,0.85590586
午好互评加油啊,0.854804699
投了dddddddddddd,0.395684007
林澜后面那串数字怎么弄得,0.548087405
可怜巴巴,0.381997417
dd,0.75
只有定时寄有？,0.125960262
我自己顶帖,0.5
ddddd,0.5
这个怎么弄哒,0.263222461
加油，互评,0.655835428
没人理我,0.086612215
upup,0.5
与电影无关老鹿内容请别带上/海堡垒了，可以用缩写，这阶段差不多人已经都知道shbl要上了，把shbl搜索留给纯电影，影评和路人，扩。,0.997457557
捞一把,0.333333333
已投~,0.387847512
早啊,0.522522523
我来了助攻,0.473767218
投了,0.421052632
加油加油加油,0.998563087
顶帖来咯,0.438284215
互互评加油,0.461728801
没了,0.353878603
互评呀！上海堡垒冲鸭！,0.055099962
鹿哥打篮球好帅,0.447678459
一起努力，一起期待,0.776195992
怎么觉得花絮比正片还好看,0.708329613
本来以为只有这里差一点吧，后来发现哪儿都差，也不一一针对了，反正这部电影对于我说，白等两个月,0.001786549
可能亏损的那个表基本没什么意义，数据基本没参考价值。,0.166134678
你的票很值钱,0.073674257
哪吒开启封神宇宙后预期利益可能有170亿,0.987979715
主动赔偿？不是原作者要求的赔偿吗？,0.044101174
鹿晗帅,0.473767218
吒儿好棒！,0.863053056
喜欢喜欢喜欢鹿晗,0.892262251
哥哥好帅哈哈哈哈,0.994192325
意难平,0.442688124
好,0.655862821
呵呵～要是不是科幻电影而是类似重返十七岁的类型～没准还能看～,0.987276961
正片减了那么多故事变单薄了好可惜,0.564551526
花絮真好看，灰鹰小队！,0.902305758
坐着看。,0.727787033
梁大侠，哈哈，名字真霸气,0.664430125
作为80后，实话实说，鹿晗在这部剧中，比择天记好很多。,0.977239415
玫瑰西装好看,0.959932435
宝宝可以看下我贴的复旦大学的教授的观后感,0.99817133
emm我觉得如果不是lh演的话，票房可能会更低，因为没有粉丝流量，毕竟剧本根本上就不行,0.631130066
李家特色,0.619684638
你可能没看过电影,0.72000023
粉丝嘴上说爱，实力不肯掏钱,0.739142548
封神榜雅座有请,0.677647639
解解我刚看到你给我的回复就发现原评论已被删除,0.004349911
有眼光，王宫良很优秀,0.991001056
上映前他可不是这么说的，现在帅锅鹿？,0.828307579
温暖帅气的男神,0.994594098
上海堡垒的?,0.42969324
致歉于那些不喜欢电影的朋友，辜负了你的等待。还嘴硬垃圾别废话,0.028773757
期待8.9号的路依依,0.325700279
为什么有王一博的名字，和一博有什么关系啊？,0.477896585
我被上海大舜资产管理有限公司骗去全部养老钱110万元，金融界名人左安龙是该公司的理财代言人，上海电视台财经频道播过该公司特约节目：梦想下一站。2017年11月浦东经侦受理此案：沪公浦（经）（2017）380号。至今没有任何回音，也不知案件的侦办结果，令人心急如焚、痛不欲生。寻求正义、呼唤法治！！,0.029559968
你好，,0.53125
你去看了吗,0.57477423
哇好棒！,0.875
恶心,0.124137931
听说播出后3日豆瓣评分3.0,0.625527857
换成谁能行？？,0.050623438
看来谁演这出戏谁也够倒霉的我虽然不是鹿晗的粉，但我感觉一个年轻人，承受压力不小现在的人的评论都是跟风的行为，都是随性随心的行为！当然了同龄人肯定也是妒忌，鹿晗为啥挣钱多，为啥我挣不来钱！【确实是这个社会没有叫最老实人把钱挣到，善良人也是如此挣不到钱】吴京就挣钱，鹿晗要学学吴京,0.859748024
期待孙嘉灵,0.234795232
别自责，别失望,0.059274747
希望你快乐幸福远行的路上要好好照顾自己不说再见下次见,0.999565044
我也以为是,0.526232782
鹿晗哥哥又变帅了，喜欢这日系风格,0.981907093
以后不要带以后与电影无关的不要带上海堡垒话题电影广场刷出来不好看,0.96544955
一样，太失望了,0.079071542
真恶心，要脸么,0.114895785
话真多,0.521558726
安排,0.516923077
我现在只希望工作室能给力,0.434665328
同学，可以微博互粉吗？,0.864017535
和电影无关的不要带上海堡垒四个字哦,0.801912248
没有发布会那张,0.319636697
想问你一句，你这个事跟王一博和刘强东有啥关系,0.608127136
期待8.9路依依,0.47649434
回评来辽,0.335652493
图片评论,0.446859278
期待8月9号路依依,0.250038401
孙嘉灵儿我爱你,0.304388032
期待路依依！,0.752044808
互评加油呀,0.655835428
互评一下,0.18220574
明天见，四字互评,0.043131687
说得好像粉丝没有刷好评一样,0.121985441
鹿怎么了,0.5
