,smiles,similarity
33,CCN(CC)c1ccc([CH]2[CH]3CCCC[C]3(O)CCN2Cc2ccccc2F)cc1,0.077611007
7,CCOC(=O)C1=C(C)N(N)C(=O)N[CH]1c1ccc2c(c1)OCO2,0.076564507
21,COc1cc(-c2nc(CN3C[CH]4C[CH](C3)c3cccc(=O)n3C4)c(C)o2)cc2c1OCO2,0.074420069
14,Cc1ccc(S(=O)(=O)N2CCC(C(=O)NC(C(C)C)C(C)C)CC2)cc1,0.070239636
23,Clc1ccc(Cl)c(-c2nc3cc(Cl)ccc3[nH]2)c1,0.069088842
31,CC(C)c1nc(C#N)c(N2C[CH]3C[CH](C2)c2cccc(=O)n2C3)o1,0.064138948
49,FC(F)(F)c1ccc2c(c1)N(CCCN1CCN(C3CC3)CC1)c1ccccc1S2,0.063835024
11,COc1ccccc1/C=N\NC(=O)c1cc(Br)ccc1O,0.061174582
51,COC(=O)Cc1csc(NC(=O)Cc2c(C)c3ccc(OC)c(OC)c3oc2=O)n1,0.060680833
24,CN(C)CCNC(=O)C(=O)Nc1ccccc1C(=O)NCCc1c[nH]c2ccc(Cl)cc12,0.058842636
13,CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)[CH]2c1cc(Cl)ccc1OCc1ccccc1,0.055783056
59,O=C(NCc1ccc(F)cc1)[CH]1Cc2c([nH]c3ccccc23)[CH]2c3ccccc3C(=O)N21,0.04916534
84,FC(F)(F)c1cccc(N2CCN(CCN3CCOCC3)CC2)c1,0.040831089
29,CN(C)CCc1c[nH]c2ccc(Cc3[nH]c4ccc(CS(=O)(=O)N5CCCC5)cc4c3CCN(C)C)cc12,0.026693698
62,c1ccc(-c2cnc(CN3CCc4ccccc4C3)o2)cc1,0.024139904
63,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2ccccn2)n1,0.021263571
4,O=Cc1cc(F)c(F)c(F)c1,0.014969123
15,Fc1ccc(OC[CH]2CNCCO2)c(Cl)c1,-0.014979428
98,CCCN1CC[CH](N2CCCCC2)CCC1=O,-0.015627352
